Prey ,501, Predator ,398, Grass ,1234
Prey ,499, Predator ,399, Grass ,1238
Prey ,511, Predator ,400, Grass ,1237
Prey ,495, Predator ,399, Grass ,1218
Prey ,501, Predator ,391, Grass ,1219
Prey ,516, Predator ,388, Grass ,1214
Prey ,495, Predator ,402, Grass ,1192
Prey ,506, Predator ,404, Grass ,1187
Prey ,506, Predator ,411, Grass ,1190
Prey ,511, Predator ,410, Grass ,1192
Prey ,513, Predator ,411, Grass ,1165
Prey ,532, Predator ,410, Grass ,1147
Prey ,539, Predator ,402, Grass ,1153
Prey ,528, Predator ,402, Grass ,1149
Prey ,569, Predator ,398, Grass ,1130
Prey ,564, Predator ,406, Grass ,1129
Prey ,558, Predator ,401, Grass ,1127
Prey ,564, Predator ,395, Grass ,1132
Prey ,555, Predator ,394, Grass ,1123
Prey ,581, Predator ,397, Grass ,1120
Prey ,565, Predator ,388, Grass ,1104
Prey ,582, Predator ,387, Grass ,1098
Prey ,578, Predator ,388, Grass ,1093
Prey ,573, Predator ,387, Grass ,1094
Prey ,580, Predator ,390, Grass ,1084
Prey ,557, Predator ,394, Grass ,1091
Prey ,573, Predator ,402, Grass ,1088
Prey ,572, Predator ,398, Grass ,1086
Prey ,569, Predator ,397, Grass ,1076
Prey ,564, Predator ,401, Grass ,1078
Prey ,552, Predator ,403, Grass ,1087
Prey ,571, Predator ,404, Grass ,1087
Prey ,552, Predator ,408, Grass ,1095
Prey ,547, Predator ,415, Grass ,1102
Prey ,535, Predator ,415, Grass ,1101
Prey ,518, Predator ,416, Grass ,1076
Prey ,522, Predator ,417, Grass ,1089
Prey ,519, Predator ,414, Grass ,1086
Prey ,522, Predator ,408, Grass ,1093
Prey ,511, Predator ,411, Grass ,1108
Prey ,530, Predator ,414, Grass ,1107
Prey ,558, Predator ,415, Grass ,1118
Prey ,551, Predator ,420, Grass ,1100
Prey ,536, Predator ,417, Grass ,1096
Prey ,510, Predator ,419, Grass ,1103
Prey ,499, Predator ,419, Grass ,1102
Prey ,485, Predator ,419, Grass ,1103
Prey ,474, Predator ,415, Grass ,1097
Prey ,484, Predator ,422, Grass ,1111
Prey ,485, Predator ,430, Grass ,1114
Prey ,479, Predator ,443, Grass ,1110
Prey ,497, Predator ,439, Grass ,1119
Prey ,509, Predator ,437, Grass ,1122
Prey ,493, Predator ,435, Grass ,1121
Prey ,501, Predator ,436, Grass ,1127
Prey ,472, Predator ,440, Grass ,1125
Prey ,485, Predator ,440, Grass ,1141
Prey ,486, Predator ,443, Grass ,1141
Prey ,471, Predator ,451, Grass ,1148
Prey ,464, Predator ,461, Grass ,1153
Prey ,456, Predator ,447, Grass ,1156
Prey ,466, Predator ,461, Grass ,1156
Prey ,508, Predator ,456, Grass ,1163
Prey ,500, Predator ,455, Grass ,1152
